"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"aaHMSvc","0","155","42266624","8622080","3002368","11816",,,,,,,,,,"Process",,,"8",,,,,"5264",".",,,,"11816","11816","3002368","3002368","78968","78968","3530752","3530752","8749056","8749056","51441664","51441664",,,"3002368","3002368","aaHMSvc",,"0",,"System.Diagnostics.ProcessThreadCollection","155","42266624","42266624","False",,,,"8622080","8622080",,,,,,"0","","True",,
"AiChargerAP","1","200","79577088","9904128","1785856","12568","C:\Program Files (x86)\ASUS\ASUS Ai Charger\AiChargerAP.exe","""C:\Program Files (x86)\ASUS\ASUS Ai Charger\AiChargerAP.exe"" ",,"ASUSTek Computer Inc.","0,03125","2, 0, 0, 0","2, 0, 0, 0","AiChargerAP MFC Application","AiChargerAP Application","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1960","8",,"False","2021-01-04 15:45:14",,"9060",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12568","12568","1785856","1785856","157608","157608","2011136","2011136","9994240","9994240","83509248","83509248","True","Normal","1785856","1785856","AiChargerAP","255","1",,"System.Diagnostics.ProcessThreadCollection","200","79577088","79577088","False",,,,"9904128","9904128",,"System.Diagnostics.ProcessModule (AiChargerAP.exe)","00:00:00.0156250","00:00:00.0312500","00:00:00.0156250","0","","True",,
"ALU","1","194","93011968","10817536","2068480","12840","C:\Program Files (x86)\ASUS\ASUS Easy Update\ALU.exe","""C:\Program Files (x86)\ASUS\ASUS Easy Update\ALU.exe"" ",,"ASUSTeK Computer Inc.","0,046875","1, 0, 0, 1","1, 0, 0, 1","ALU MFC Application","ALU Application","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5312","8",,"False","2021-01-04 15:45:12",,"9180",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","12840","12840","2068480","2068480","156824","156824","2420736","2420736","10956800","10956800","99426304","99426304","True","Normal","2068480","2068480","ALU","255","1",,"System.Diagnostics.ProcessThreadCollection","194","93011968","93011968","False",,,,"10817536","10817536",,"System.Diagnostics.ProcessModule (ALU.exe)","00:00:00.0468750","00:00:00.0468750","00:00:00","66224","ASUS Easy Update","True",,
"ApplicationFrameHost","1","310","2203556093952","28168192","10883072","19784","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","0,140625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3464","8",,"False","2021-01-04 15:55:20",,"11052",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19784","19784","10883072","10883072","329144","329144","11718656","11718656","29462528","29462528","2203580096512","261873664","True","Normal","10883072","10883072","ApplicationFrameHost","255","1",,"System.Diagnostics.ProcessThreadCollection","310","2203556093952","237871104","False",,,,"28168192","28168192",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.1250000","00:00:00.1406250","00:00:00.0156250","328428","Paramètres","True",,
"armsvc","0","123","69173248","6426624","1609728","8552",,,,,,,,,,"Process",,,"8",,,,,"5256",".",,,,"8552","8552","1609728","1609728","73544","73544","2043904","2043904","6590464","6590464","77037568","77037568",,,"1609728","1609728","armsvc",,"0",,"System.Diagnostics.ProcessThreadCollection","123","69173248","69173248","False",,,,"6426624","6426624",,,,,,"0","","True",,
"AsRoutineController","1","306","103444480","2260992","3567616","17392",,,,,"0,109375",,,,,"Process",,,"6",,"False","2021-01-04 15:43:17",,"1848",".",,,,"17392","17392","3567616","3567616","213200","213200","4222976","4222976","18018304","18018304","115245056","115245056",,,"3567616","3567616","AsRoutineController",,"1",,"System.Diagnostics.ProcessThreadCollection","306","103444480","103444480","False",,,,"2260992","2260992",,,"00:00:00.0937500","00:00:00.1093750","00:00:00.0156250","0","","True",,
"AsSysCtrlService","0","110","30769152","5701632","1163264","8696",,,,,,,,,,"Process",,,"8",,,,,"1032",".",,,,"8696","8696","1163264","1163264","60744","60744","1445888","1445888","5865472","5865472","36012032","36012032",,,"1163264","1163264","AsSysCtrlService",,"0",,"System.Diagnostics.ProcessThreadCollection","110","30769152","30769152","False",,,,"5701632","5701632",,,,,,"0","","True",,
"aswEngSrv","0","732","2203704528896","127397888","70995968","29184",,,,,,,,,,"Process",,,"8",,,,,"4416",".",,,,"29184","29184","70995968","70995968","493240","493240","129380352","129380352","235511808","235511808","2204440465408","1122242560",,,"70995968","70995968","aswEngSrv",,"0",,"System.Diagnostics.ProcessThreadCollection","732","2203704528896","386306048","False",,,,"127397888","127397888",,,,,,"0","","True",,
"aswidsagent","0","959","2203541938176","85118976","65769472","26664",,,,,,,,,,"Process",,,"8",,,,,"7012",".",,,,"26664","26664","65769472","65769472","226768","226768","72990720","72990720","90505216","90505216","2203565694976","247472128",,,"65769472","65769472","aswidsagent",,"0",,"System.Diagnostics.ProcessThreadCollection","959","2203541938176","223715328","False",,,,"85118976","85118976",,,,,,"0","","True",,
"aswToolsSvc","0","803","2203561091072","52137984","30257152","29632",,,,,,,,,,"Process",,,"8",,,,,"3264",".",,,,"29632","29632","30257152","30257152","277336","277336","59785216","59785216","74338304","74338304","2203567235072","249012224",,,"30257152","30257152","aswToolsSvc",,"0",,"System.Diagnostics.ProcessThreadCollection","803","2203561091072","242868224","False",,,,"52137984","52137984",,,,,,"0","","True",,
"atkexComSvc","0","161","57208832","9564160","7565312","12496",,,,,,,,,,"Process",,,"8",,,,,"5236",".",,,,"12496","12496","7565312","7565312","89176","89176","7966720","7966720","13008896","13008896","65691648","65691648",,,"7565312","7565312","atkexComSvc",,"0",,"System.Diagnostics.ProcessThreadCollection","161","57208832","57208832","False",,,,"9564160","9564160",,,,,,"0","","True",,
"audiodg","0","198","2203404177408","13574144","7802880","13136",,,,,"14,46875",,,,,"Process",,,"8",,,"2021-01-04 15:51:10",,"14676",".",,,,"13136","13136","7802880","7802880","94520","94520","7860224","7860224","13590528","13590528","2203405225984","87003136",,,"7802880","7802880","audiodg",,"0",,"System.Diagnostics.ProcessThreadCollection","198","2203404177408","85954560","False",,,,"13574144","13574144",,,"00:00:07.0937500","00:00:14.4687500","00:00:07.3750000","0","","True",,
"AvastBrowserCrashHandler","0","159","50184192","167936","1900544","10824",,,,,,,,,,"Process",,,"4",,,,,"11348",".",,,,"10824","10824","1900544","1900544","98008","98008","2048000","2048000","8192000","8192000","52805632","52805632",,,"1900544","1900544","AvastBrowserCrashHandler",,"0",,"System.Diagnostics.ProcessThreadCollection","159","50184192","50184192","False",,,,"167936","167936",,,,,,"0","","True",,
